ID,Región,Pacto,Comuna,Nombre,¿Nuevo o Reelecto?,BANCADA AchM,Militancia,CUPO,Antigua Militancia (si es IND)
7,Región Metropolitana de Santiago,Chile Vamos,Isla de Maipo,Juan Olave C.,REELECTO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,La Cisterna,Joel Olmos E.,REELECTO,ACCIÓN HUMANISTA,PARTIDO ACCIÓN HUMANISTA,,
7,Región Metropolitana de Santiago,Chile Vamos,La Florida,Daniel Reyes M.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,La Pintana,Claudia Pizarro P.,REELECTO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
7,Región Metropolitana de Santiago,Chile Vamos,La Reina,José Palacios P.,REELECTO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Lampa,Jonathan Opazo C.,REELECTO,PARTIDO LIBERAL,INDEPENDIENTES-CChM,PL,
7,Región Metropolitana de Santiago,Chile Vamos,Lo Barnechea,Felipe Alessandri V.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Lo Espejo,Javiera Reyes J.,REELECTO,PARTIDO COMUNISTA DE CHILE,PARTIDO COMUNISTA DE CHILE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Lo Prado,Maximiliano Ríos G.,REELECTO,PARTIDO POR LA DEMOCRACIA,PARTIDO POR LA DEMOCRACIA,,
7,Región Metropolitana de Santiago,Republicanos,Macul,Eduardo Espinoza G.,NUEVO,PARTIDO REPUBLICANO,PARTIDO REPUBLICANO DE CHILE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Maipú,Tomás Vodanovic E.,REELECTO,PARTIDO FRENTE AMPLIO,FRENTE AMPLIO,,
7,Región Metropolitana de Santiago,Chile Vamos,María Pinto,Jessica Mualim F.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
7,Región Metropolitana de Santiago,Chile Vamos,Melipilla,Paula Gárate R.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Chile Vamos,Ñuñoa,Sebastián Sichel R.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Padre Hurtado,Felipe Muñoz H.,REELECTO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
7,Región Metropolitana de Santiago,Chile Vamos,Paine,Rodrigo Contreras G.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Pedro Aguirre Cerda,Luis Astudillo P,REELECTO,PARTIDO SOCIALISTA DE CHILE,INDEPENDIENTES-CChM,PS,
7,Región Metropolitana de Santiago,Chile Vamos,Peñaflor,Rodrigo Cornejo I.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Peñalolén,Miguel Concha M.,NUEVO,PARTIDO FRENTE AMPLIO,FRENTE AMPLIO,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Pirque,Jaime Escudero R.,REELECTO,PARTIDO POR LA DEMOCRACIA,INDEPENDIENTES-CChM,PPD,
7,Región Metropolitana de Santiago,Chile Vamos,Providencia,Jaime Bellolio A.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Pudahuel,Italo Bravo L.,REELECTO,PARTIDO COMUNISTA DE CHILE,INDEPENDIENTES-CChM,PC,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Quilicura,Paulina Bobadilla N.,REELECTO,PARTIDO FRENTE AMPLIO,INDEPENDIENTES-CChM,FA,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Quinta Normal,Karina Delfino M.,REELECTO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Recoleta,Fares Jadue L.,NUEVO,PARTIDO COMUNISTA DE CHILE,PARTIDO COMUNISTA DE CHILE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,San Bernardo,Christopher White B.,REELECTO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,San José de Maipo,Roberto Pérez C.,NUEVO,PARTIDO RADICAL,PARTIDO RADICAL DE CHILE,,
7,Región Metropolitana de Santiago,Chile Vamos,San Miguel,Carol Bown S.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Chile Vamos,San Pedro de Melipilla,Manuel Devia V.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,San Ramón,Gustavo Toro Q.,NUEVO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
7,Región Metropolitana de Santiago,Chile Vamos,Santiago,Mario Desbordes J.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Talagante,Sebastián Rosas G.,NUEVO,PARTIDO SOCIALISTA DE CHILE,INDEPENDIENTES-CChM,PS,
7,Región Metropolitana de Santiago,Republicanos,Tiltil,César Mena R.,NUEVO,PARTIDO REPUBLICANO,INDEPENDIENTES-REP,,
7,Región Metropolitana de Santiago,Chile Vamos,Vitacura,Camila Merino C.,REELECTO,EVOPOLI,EVOLUCION POLITICA,,
7,Región Metropolitana de Santiago,Fuera de Pacto,La Granja,Claudio Arriagada M.,NUEVO-RETORNO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
7,Región Metropolitana de Santiago,Fuera de Pacto,Las Condes,Catalina Martín C.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,EVO
7,Región Metropolitana de Santiago,Fuera de Pacto,Puente Alto,Matías Toledo H.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IGUALDAD
7,Región Metropolitana de Santiago,Fuera de Pacto,Renca,Claudio Castro S.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
7,Región Metropolitana de Santiago,Fuera de Pacto,San Joaquín,Cristóbal Labra B.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PS
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Codegua,José Flores O.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Coinco,Juan Abarca P.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Doñihue,Boris Acuña G.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PPD
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Graneros,Marcelo Miñañir M.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,Chépica,Fabián Soto G.,NUEVO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Chimbarongo,Marco Contreras J.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Coltauco,Félix Sánchez V.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,La Estrella,Valentín Vidal R.,NUEVO,PARTIDO RADICAL,INDEPENDIENTES-CChM,PR,
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,Las Cabras,Juan Flores A.,REELECTO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
7,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Litueche,Rodrigo Palominos V.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,Malloa,Luis Barra V.,REELECTO,PARTIDO POR LA DEMOCRACIA,INDEPENDIENTES-CChM,PPD,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Marchigüe,Sebastián Flores L.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,Navidad,Yanko Blumen A,REELECTO,PARTIDO POR LA DEMOCRACIA,INDEPENDIENTES-CChM,PPD,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Olivar,María Montero C.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Paredones,Moisés Carvacho V.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,Peralillo,Claudio Cumsille C.,REELECTO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,Peumo,Fermín Carreño C.,NUEVO,PARTIDO POR LA DEMOCRACIA,INDEPENDIENTES-CChM,PPD,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Pumanque,Gonzalo Baraona B.,REELECTO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Quinta de Tilcoco,Sebastián Rodríguez F.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Rancagua,Raimundo Agliati M.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Rengo,Enrique Barrio H.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
8,Región del Libertador General Bernardo O'Higgins,Contigo Chile Mejor,Requinoa,Waldo Valdivia M.,REELECTO,PARTIDO POR LA DEMOCRACIA,INDEPENDIENTES-CChM,PPD,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,San Fernando,Pablo Silva P.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,San Vicente de Tagua Tagua,Guido Carreño R.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
8,Región del Libertador General Bernardo O'Higgins,Chile Vamos,Santa Cruz,Yamil Ethit R.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Lolol,José Román C.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Machalí,Juan Abud P.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PRSD
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Nancagua,Aníbal Valenzuela C.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Palmilla,Carlos Carrero P.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Pichidegua,Adolfo Cerón G.,NUEVO-RETORNO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PRSD
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,Pichilemu,Roberto Córdova C.,NUEVO-RETORNO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PS
8,Región del Libertador General Bernardo O'Higgins,Fuera de Pacto,San Francisco de Mostazal,Verónica Arroyo A.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
9,Región del Maule,Fuera de Pacto,Colbún,Pedro Muñoz O.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
9,Región del Maule,Chile Vamos,Curepto,Fernando Alcántara B.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,RN
9,Región del Maule,Fuera de Pacto,Empedrado,Carlos Correa M.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
9,Región del Maule,Fuera de Pacto,Licantén,Claudio Reyes F.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PS
9,Región del Maule,Fuera de Pacto,Molina,Felipe Méndez G.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
9,Región del Maule,Chile Vamos,Cauquenes,Jorge Muñoz S.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
9,Región del Maule,Contigo Chile Mejor,Chanco,Marcelo Waddington G.,REELECTO,PARTIDO RADICAL,PARTIDO RADICAL DE CHILE,,
9,Región del Maule,Chile Vamos,Constitución,Carlos Valenzuela G.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
9,Región del Maule,Fuera de Pacto,Curarrehue,Daniel Parra C.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PPD
9,Región del Maule,Contigo Chile Mejor,Hualañé,Carolina Muñoz N.,NUEVO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
9,Región del Maule,Chile Vamos,Linares,Mario Meza V.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
9,Región del Maule,Contigo Chile Mejor,Longaví,Jaime Briones J.,NUEVO,PARTIDO SOCIALISTA DE CHILE,INDEPENDIENTES-CChM,PS,
